Time stamp,Con piezaJ1,Con piezaJ2,PosicionJ1,PosicionJ2,VelocidadJ1,VelocidadJ2,Distancia
0:0:0.00,False,False,(3.337019; 0.9573135),(3.305501; 1.6797),0,0,0.723073831644496
0:0:0.49,False,False,(1.392051; 0.5700261),(3.305501; 1.6797),0.1397168,0,2.21193747199315
0:0:0.99,False,False,(1.410037; 0.4547256),(3.305501; 1.6797),0.3156912,0,2.25684448345418
0:0:1.49,False,False,(1.380234; 0.3429055),(3.305501; 1.6797),0.1175095,0,2.34385862409952
0:0:1.99,False,False,(1.366246; 0.344144),(3.305501; 1.6797),0.07932604,0,2.35465944563116
0:0:2.49,False,False,(1.382193; 0.4279817),(3.305501; 1.6797),0.3116992,0,2.29475765119964
0:0:2.99,False,False,(1.51175; 0.7162877),(3.305501; 1.6797),0.6245344,0,2.03610123851652
0:0:3.49,False,False,(1.581671; 0.7982888),(3.305501; 1.6797),0.202563,0,1.93609841137986
0:0:3.99,False,False,(1.816422; 0.8211232),(3.305501; 1.6797),0.6070347,0,1.71886938615019
0:0:4.49,False,False,(2.110433; 0.8454197),(3.305501; 1.6797),0.6298372,0,1.45746813388374
0:0:4.99,False,False,(2.469382; 0.9275255),(3.305501; 1.6797),0.5595823,0,1.12466116002152
0:0:5.49,False,False,(2.828055; 0.8908817),(3.305501; 1.6797),0.8262131,0,0.922057129873846
0:0:5.99,False,False,(3.17938; 0.9163145),(3.305501; 1.6797),0.8414065,0,0.773733896685115
0:0:6.49,False,False,(3.522018; 0.9604637),(3.305501; 1.6797),0.6502822,0,0.751119595183181
0:0:6.99,False,False,(3.915079; 0.9609797),(3.305501; 1.6797),0.6203383,0,0.94241375893725
0:0:7.49,False,False,(4.285001; 1.044705),(3.305501; 1.6797),0.879695,0,1.16732068707053
0:0:7.99,False,False,(4.601895; 1.067407),(3.305501; 1.6797),0.6205432,0,1.43371558457418
0:0:8.49,False,False,(4.88296; 1.075991),(3.305501; 1.6797),0.5673775,0,1.68903551938397
0:0:8.99,False,False,(5.081705; 1.141201),(3.305501; 1.6797),0.295217,0,1.85603837110592
0:0:9.49,True,False,(5.17428; 1.174368),(3.305501; 1.6797),0.00448342,0,1.93589594088706
0:0:9.99,True,False,(5.072628; 1.16846),(3.305501; 1.6797),0.2441057,0,1.8395930590814
0:0:10.49,True,False,(4.878645; 1.231443),(3.305501; 1.6797),0.4678248,0,1.63576114164966
0:0:10.99,True,False,(4.596942; 1.233403),(3.305501; 1.6797),0.5406699,0,1.36638181648508
0:0:11.49,True,False,(4.316201; 1.270831),(3.305501; 1.6797),0.6679834,0,1.09026971879016
0:0:11.99,True,False,(4.010381; 1.264772),(3.305501; 1.6797),0.7040067,0,0.817936316929547
0:0:12.49,True,False,(3.656982; 1.165319),(3.305501; 1.6797),0.5774901,0,0.622997811949847
0:0:12.99,True,False,(3.296645; 1.166344),(3.305501; 1.6797),0.6215578,0,0.51343247726411
0:0:13.49,True,False,(2.938263; 1.163109),(3.305501; 1.6797),0.8486895,0,0.633822054103443
0:0:13.99,True,False,(2.605768; 1.158781),(3.305501; 1.6797),0.6159956,0,0.872344035071505
0:0:14.49,True,False,(2.223513; 1.27191),(3.305501; 1.6797),0.6359639,0,1.15628313387511
0:0:14.99,True,False,(1.896495; 1.31099),(3.305501; 1.6797),0.6712068,0,1.45644979624377
0:0:15.49,True,False,(1.606459; 1.336086),(3.305501; 1.6797),0.4433357,0,1.73344018999758
0:0:15.99,False,False,(1.44209; 1.37849),(3.305501; 1.6797),0.244894,0,1.88759896829408
0:0:16.49,False,False,(1.432829; 1.283942),(3.305501; 1.6797),0.3319758,0,1.91403453463143
0:0:16.99,False,False,(1.652129; 1.166776),(3.305501; 1.6797),0.5138593,0,1.73110684432082
0:0:17.49,False,False,(1.794533; 1.097243),(3.305501; 1.6797),0.166123,0,1.61934643559935
0:0:17.99,False,False,(1.903893; 1.091373),(3.305501; 1.6797),0.3122545,0,1.5200772588233
0:0:18.49,False,False,(1.859157; 0.9362247),(3.305501; 1.6797),0.5633178,0,1.62624345610562
0:0:18.99,False,False,(1.821874; 0.8286762),(3.305501; 1.6797),0.09292249,0,1.7103774480385
0:0:19.49,False,False,(1.924559; 0.8365246),(3.305501; 1.6797),0.4351136,0,1.61800743242479
0:0:19.99,False,False,(2.32276; 0.9311982),(3.305501; 1.6797),0.6942496,0,1.23532797004727
0:0:20.49,False,False,(2.593028; 0.9372917),(3.305501; 1.6797),0.6487988,0,1.02897484865216
0:0:20.99,False,False,(2.918628; 0.8723532),(3.305501; 1.6797),0.6043742,0,0.895254354039209
0:0:21.49,False,False,(3.243215; 0.9335019),(3.305501; 1.6797),0.7930624,0,0.748793296958333
0:0:21.99,False,False,(3.598704; 0.9953291),(3.305501; 1.6797),0.8056818,0,0.744534381679667
0:0:22.49,False,False,(3.936033; 1.04061),(3.305501; 1.6797),0.6675921,0,0.897778615153208
